# Medida, Freq. (Hz), Vpp (mV)
1, 5.0, 940.20
2, 10.0, 940.20
3, 50.0, 930.40
4, 100.0, 930.40
5, 500.0, 918.20
6, 1000.0, 880.70
7, 1500.0, 820.90
8, 2000.0, 750.80
9, 2500.0, 690.30
10, 3000.0, 630.20
11, 4000.0, 530.10
12, 5000.0, 443.90
13, 6000.0, 396.60
14, 8000.0, 310.20
15, 10000.0, 250.40
16, 20000.0, 140.20
17, 50000.0, 52.00
18, 100000.0, 28.04
19, 150000.0, 19.80
20, 500000.0, 8.10
21, 1000000.0, 4.10
