#{"date": "2014-12-19T23:20:54.647576", "MAC": "/dev/tty.bitalino-DevB", "ChannelsOrder": ["SeqN", "Digital0", "Digital1", "Digital2", "Digital3", "ECG"]}
0	1	1	1	1	486
1	1	1	1	1	486
2	1	1	1	1	483
3	1	1	1	1	483
4	1	1	1	1	483
5	1	1	1	1	481
6	1	1	1	1	480
7	1	1	1	1	480
8	1	1	1	1	480
9	1	1	1	1	480
10	1	1	1	1	480
11	1	1	1	1	480
12	1	1	1	1	480
13	1	1	1	1	480
14	1	1	1	1	480
15	1	1	1	1	481
0	1	1	1	1	483
1	1	1	1	1	483
2	1	1	1	1	483
3	1	1	1	1	486
4	1	1	1	1	486
5	1	1	1	1	486
6	1	1	1	1	483
7	1	1	1	1	483
8	1	1	1	1	483
9	1	1	1	1	483
10	1	1	1	1	481
11	1	1	1	1	481
12	1	1	1	1	480
13	1	1	1	1	480
14	1	1	1	1	480
15	1	1	1	1	481
0	1	1	1	1	481
1	1	1	1	1	483
2	1	1	1	1	486
3	1	1	1	1	487
4	1	1	1	1	487
5	1	1	1	1	487
6	1	1	1	1	489
7	1	1	1	1	492
8	1	1	1	1	492
9	1	1	1	1	492
10	1	1	1	1	492
11	1	1	1	1	492
12	1	1	1	1	487
13	1	1	1	1	487
14	1	1	1	1	487
15	1	1	1	1	487
0	1	1	1	1	486
1	1	1	1	1	483
2	1	1	1	1	483
3	1	1	1	1	483
4	1	1	1	1	486
5	1	1	1	1	486
6	1	1	1	1	487
7	1	1	1	1	487
8	1	1	1	1	487
9	1	1	1	1	492
10	1	1	1	1	492
11	1	1	1	1	492
12	1	1	1	1	494
13	1	1	1	1	494
14	1	1	1	1	494
15	1	1	1	1	492
0	1	1	1	1	492
1	1	1	1	1	492
2	1	1	1	1	487
3	1	1	1	1	487
4	1	1	1	1	487
5	1	1	1	1	487
6	1	1	1	1	487
7	1	1	1	1	487
8	1	1	1	1	487
9	1	1	1	1	487
10	1	1	1	1	487
11	1	1	1	1	487
12	1	1	1	1	492
13	1	1	1	1	492
14	1	1	1	1	492
15	1	1	1	1	494
0	1	1	1	1	496
1	1	1	1	1	496
2	1	1	1	1	496
3	1	1	1	1	496
4	1	1	1	1	496
5	1	1	1	1	496
6	1	1	1	1	494
7	1	1	1	1	494
8	1	1	1	1	492
9	1	1	1	1	492
10	1	1	1	1	492
11	1	1	1	1	492
12	1	1	1	1	492
13	1	1	1	1	492
14	1	1	1	1	494
15	1	1	1	1	494
0	1	1	1	1	496
1	1	1	1	1	496
2	1	1	1	1	496
3	1	1	1	1	496
4	1	1	1	1	497
5	1	1	1	1	497
6	1	1	1	1	496
7	1	1	1	1	496
8	1	1	1	1	496
9	1	1	1	1	496
10	1	1	1	1	496
11	1	1	1	1	494
12	1	1	1	1	492
13	1	1	1	1	492
14	1	1	1	1	492
15	1	1	1	1	492
0	1	1	1	1	492
1	1	1	1	1	494
2	1	1	1	1	494
3	1	1	1	1	496
4	1	1	1	1	496
5	1	1	1	1	496
6	1	1	1	1	497
7	1	1	1	1	499
8	1	1	1	1	499
9	1	1	1	1	499
10	1	1	1	1	499
11	1	1	1	1	497
12	1	1	1	1	496
13	1	1	1	1	496
14	1	1	1	1	496
15	1	1	1	1	496
0	1	1	1	1	494
1	1	1	1	1	492
2	1	1	1	1	492
3	1	1	1	1	494
4	1	1	1	1	494
5	1	1	1	1	496
6	1	1	1	1	496
7	1	1	1	1	496
8	1	1	1	1	497
9	1	1	1	1	499
10	1	1	1	1	499
11	1	1	1	1	504
12	1	1	1	1	504
13	1	1	1	1	504
14	1	1	1	1	504
15	1	1	1	1	502
0	1	1	1	1	499
1	1	1	1	1	499
2	1	1	1	1	497
3	1	1	1	1	496
4	1	1	1	1	496
5	1	1	1	1	496
6	1	1	1	1	496
7	1	1	1	1	496
8	1	1	1	1	496
9	1	1	1	1	496
10	1	1	1	1	497
11	1	1	1	1	499
12	1	1	1	1	499
13	1	1	1	1	502
14	1	1	1	1	504
15	1	1	1	1	504
