# Ts (uS), Vi, Vo
37962845,3.29,0.83
37963597,3.29,0.83
37964352,3.30,0.83
37965105,3.29,0.83
37965859,3.30,0.83
37966609,3.30,0.83
37967361,3.30,0.83
37968112,3.30,0.83
37968864,3.29,0.83
37969615,3.30,0.83
37970368,3.29,0.83
37971118,3.29,0.83
37971871,0.01,0.50
37972622,0.01,0.25
37973373,0.01,0.11
37974125,0.01,0.06
37974876,0.01,0.04
37975629,0.01,0.02
37976384,0.01,0.02
37977136,0.01,0.01
37977887,0.01,0.01
37978640,0.01,0.01
37979394,0.02,0.01
37980148,0.01,0.02
37980902,0.01,0.01
37981652,0.01,0.01
37982406,0.01,0.01
37983157,0.01,0.01
37983907,0.01,0.01
37984658,0.01,0.01
37985411,0.01,0.01
37986163,0.01,0.01
37986916,0.01,0.02
37987670,0.01,0.01
37988422,0.01,0.01
37989177,0.01,0.01
37989927,0.01,0.01
37990679,0.01,0.01
37991433,0.01,0.01
37992183,0.01,0.01
37992933,0.01,0.01
37993685,0.01,0.01
37994436,0.01,0.01
37995188,0.01,0.01
37995938,0.01,0.01
37996689,0.01,0.01
37997440,3.29,0.37
37998193,3.29,0.64
37998946,3.29,0.75
37999700,3.30,0.80
38000451,3.29,0.81
38001204,3.29,0.82
38001956,3.29,0.82
38002707,3.29,0.83
38003461,3.29,0.83
38004214,3.29,0.83
38004965,3.29,0.83
38005719,3.29,0.83
38006469,3.29,0.83
38007220,3.29,0.83
38007970,3.30,0.82
38008721,3.29,0.84
38009472,3.29,0.83
38010225,3.29,0.83
38010975,3.29,0.83
38011726,3.30,0.83
38012478,3.30,0.84
38013230,3.30,0.83
38013984,3.30,0.83
38014737,3.29,0.84
38015489,3.30,0.83
38016241,3.30,0.83
38017002,3.30,0.83
38017752,3.30,0.84
38018506,3.29,0.83
38019259,3.30,0.83
38020009,3.29,0.83
38020764,3.30,0.84
38021515,3.29,0.83
38022268,0.02,0.56
38023020,0.01,0.24
38023770,0.01,0.11
38024521,0.01,0.05
38025275,0.01,0.03
38026025,0.01,0.02
38026775,0.01,0.02
38027527,0.02,0.02
38028281,0.01,0.01
38029035,0.01,0.02
38029787,0.01,0.01
38030540,0.01,0.01
38031290,0.01,0.01
38032043,0.01,0.01
38032797,0.01,0.01
38033548,0.01,0.01
38034300,0.01,0.01
38035054,0.01,0.01
38035808,0.01,0.01
38036561,0.01,0.01
38037312,0.01,0.01
38038064,0.01,0.01
38038818,0.01,0.01
38039572,0.01,0.01
38040322,0.01,0.01
38041073,0.01,0.01
38041827,0.01,0.01
38042578,0.01,0.02
38043331,0.01,0.01
38044081,0.01,0.01
38044834,0.01,0.01
38045584,0.01,0.01
38046338,0.02,0.01
38047088,0.01,0.01
38047840,3.29,0.42
38048591,3.30,0.65
38049343,3.29,0.75
38050094,3.29,0.79
38050844,3.30,0.82
38051596,3.30,0.83
38052348,3.30,0.83
38053099,3.30,0.83
38053852,3.30,0.83
38054606,3.29,0.83
38055358,3.30,0.83
38056108,3.30,0.83
38056858,3.30,0.83
38057609,3.29,0.83
38058359,3.29,0.84
38059113,3.30,0.83
38059863,3.29,0.83
38060617,3.29,0.83
38061368,3.29,0.84
38062122,3.29,0.83
38062876,3.30,0.83
38063628,3.29,0.83
38064379,3.29,0.83
38065130,3.30,0.83
38065880,3.30,0.83
38066634,3.30,0.83
38067384,3.29,0.83
38068137,3.29,0.83
38068888,3.30,0.83
38069640,3.29,0.83
38070391,3.29,0.83
38071143,3.30,0.83
38071893,3.29,0.83
38072646,0.01,0.55
38073400,0.01,0.24
38074154,0.01,0.11
38074904,0.01,0.05
38075657,0.01,0.03
38076410,0.01,0.02
38077164,0.01,0.02
38077916,0.01,0.02
38078666,0.01,0.01
38079420,0.01,0.02
38080171,0.01,0.01
38080923,0.01,0.01
38081677,0.01,0.01
38082431,0.01,0.01
38083182,0.01,0.02
38083934,0.01,0.01
38084688,0.01,0.02
38085441,0.01,0.01
38086194,0.02,0.01
38086945,0.01,0.01
38087698,0.02,0.01
38088450,0.01,0.01
38089203,0.01,0.01
38089955,0.01,0.01
38090709,0.01,0.01
38091460,0.01,0.01
38092214,0.01,0.01
38092967,0.01,0.01
38093719,0.01,0.01
38094474,0.01,0.01
38095224,0.01,0.01
38095975,0.01,0.01
38096728,0.01,0.01
38097480,0.01,0.01
38098231,3.29,0.38
38098984,3.29,0.64
38099737,3.30,0.75
38100487,3.29,0.79
38101238,3.29,0.81
38101991,3.29,0.82
38102746,3.30,0.83
38103496,3.29,0.83
38104247,3.30,0.83
38105007,3.29,0.83
38105757,3.30,0.83
38106511,3.30,0.83
38107264,3.29,0.83
38108016,3.29,0.83
38108770,3.30,0.83
38109523,3.29,0.83
38110273,3.29,0.83
38111024,3.29,0.83
38111779,3.29,0.83
38112529,3.29,0.83
38113280,3.30,0.83
38114031,3.29,0.83
38114781,3.30,0.83
38115532,3.30,0.83
38116286,3.30,0.83
38117039,3.29,0.83
38117790,3.29,0.83
38118542,3.29,0.83
38119292,3.30,0.83
38120042,3.29,0.83
38120796,3.29,0.83
38121548,3.30,0.83
38122302,3.30,0.83
38123056,0.02,0.56
38123806,0.01,0.25
38124556,0.01,0.12
38125307,0.01,0.06
38126058,0.01,0.03
38126812,0.01,0.02
38127565,0.01,0.02
38128318,0.01,0.02
38129072,0.01,0.02
38129826,0.01,0.01
38130577,0.01,0.02
38131328,0.01,0.01
38132081,0.01,0.01
38132834,0.01,0.02
38133587,0.01,0.01
38134339,0.01,0.01
38135093,0.01,0.01
38135845,0.01,0.01
38136599,0.01,0.01
38137353,0.01,0.01
38138105,0.01,0.01
38138856,0.01,0.01
38139608,0.01,0.01
38140360,0.01,0.01
38141112,0.01,0.01
38141864,0.01,0.01
38142618,0.01,0.01
38143368,0.01,0.01
38144122,0.02,0.01
38144873,0.01,0.01
38145626,0.01,0.01
38146380,0.01,0.01
38147130,0.01,0.01
38147883,0.01,0.01
38148636,3.29,0.41
38149390,3.29,0.65
38150141,3.30,0.75
38150891,3.30,0.79
38151641,3.30,0.81
38152396,3.30,0.82
38153146,3.30,0.83
38153896,3.29,0.83
38154648,3.30,0.83
38155401,3.30,0.83
38156154,3.30,0.83
38156905,3.30,0.83
38157655,3.29,0.83
38158408,3.30,0.83
38159162,3.30,0.83
38159912,3.30,0.83
38160663,3.29,0.83
38161462,3.30,0.84
38163443,3.30,0.83
38165197,3.30,0.83
38165948,3.30,0.83
38166699,3.29,0.84
38167451,3.29,0.83
38168205,3.30,0.83
38168957,3.30,0.83
38169710,3.29,0.84
38170726,3.30,0.84
38173014,3.30,0.84
38175925,0.02,0.50
38176676,0.01,0.24
38177430,0.01,0.12
38178674,0.01,0.03
38180307,0.01,0.02
38181893,0.01,0.01
38183429,0.01,0.01
38184182,0.01,0.01
38184934,0.01,0.01
38185688,0.01,0.01
38186439,0.01,0.01
38187193,0.01,0.01
38187945,0.01,0.01
38188698,0.01,0.01
38189449,0.01,0.01
38190203,0.01,0.01
38190955,0.01,0.01
38191706,0.01,0.01
38192460,0.01,0.01
38193213,0.01,0.01
38193966,0.01,0.01
38194720,0.01,0.01
38195471,0.01,0.01
38196224,0.01,0.01
38196974,0.01,0.01
38197725,0.01,0.01
38198478,0.01,0.01
38199228,0.02,0.01
38199981,0.01,0.01
38200735,0.01,0.01
38201489,3.29,0.39
38202243,3.29,0.65
38202995,3.30,0.75
38203747,3.29,0.81
38205684,3.30,0.83
38206438,3.30,0.83
38207192,3.29,0.83
38207944,3.30,0.83
38208697,3.29,0.84
38209449,3.30,0.83
38210199,3.29,0.83
38210951,3.30,0.83
38211702,3.29,0.84
38212454,3.29,0.83
38213208,3.30,0.83
38213962,3.29,0.83
38214715,3.29,0.84
38215467,3.30,0.83
38216218,3.30,0.83
38216972,3.29,0.83
38217724,3.30,0.83
38218476,3.29,0.83
38219229,3.29,0.83
38219983,3.29,0.83
38220735,3.29,0.84
38221488,3.29,0.83
38222239,3.30,0.83
38222993,3.30,0.83
38223745,3.29,0.83
38224499,3.30,0.83
38225253,3.30,0.83
38226006,3.30,0.83
38226759,0.01,0.43
38227513,0.01,0.20
38228267,0.01,0.09
38229021,0.01,0.05
38229772,0.01,0.03
38230522,0.01,0.02
38231273,0.01,0.02
38232023,0.01,0.02
38232774,0.01,0.01
38233524,0.01,0.01
38234276,0.01,0.01
38235029,0.01,0.01
38235779,0.01,0.01
38236531,0.01,0.01
38237284,0.01,0.01
38238034,0.01,0.01
38238786,0.01,0.01
38239539,0.01,0.01
38240292,0.01,0.01
38241046,0.01,0.01
38241800,0.01,0.01
38242550,0.01,0.01
38243304,0.01,0.01
38244057,0.01,0.01
38244811,0.01,0.01
38245564,0.01,0.01
38246318,0.01,0.01
38247072,0.01,0.01
38247824,0.01,0.02
38248578,0.02,0.02
38249330,0.01,0.01
38250080,0.01,0.01
38250834,0.01,0.01
38251586,3.29,0.31
38252340,3.30,0.60
38253092,3.29,0.73
38253842,3.30,0.79
38254594,3.29,0.81
38255345,3.30,0.82
38256097,3.29,0.83
38256850,3.30,0.82
38257603,3.29,0.83
38258356,3.30,0.83
38259107,3.30,0.83
38259861,3.30,0.83
38260615,3.29,0.83
38261366,3.29,0.83
38262117,3.29,0.83
38262868,3.30,0.83
38263620,3.30,0.83
38264372,3.29,0.83
38265124,3.29,0.83
38265877,3.29,0.83
38266629,3.30,0.84
38267379,3.29,0.83
38268133,3.29,0.84
38268883,3.29,0.83
38269636,3.30,0.83
38270388,3.29,0.83
38271138,3.30,0.84
38271892,3.29,0.83
38272646,3.29,0.83
38273399,3.29,0.82
38274152,3.29,0.83
38274903,3.30,0.84
38275654,3.29,0.83
38276406,3.29,0.83
38277158,0.01,0.44
38277908,0.02,0.19
38278661,0.01,0.10
38279412,0.02,0.05
38280164,0.01,0.03
38280914,0.01,0.02
38281664,0.01,0.02
38282417,0.01,0.02
38283169,0.02,0.01
38283922,0.01,0.01
38284674,0.01,0.01
38285428,0.01,0.01
38286180,0.02,0.01
38286933,0.01,0.01
38287685,0.01,0.01
38288439,0.01,0.01
38289190,0.01,0.01
38289941,0.01,0.01
38290692,0.01,0.01
38291446,0.01,0.01
38292197,0.01,0.01
38292950,0.01,0.01
38293703,0.01,0.02
38294456,0.01,0.01
38295206,0.01,0.01
38295958,0.01,0.01
38296708,0.01,0.01
38297461,0.01,0.01
38298213,0.01,0.01
38298966,0.01,0.01
38299719,0.01,0.01
38300470,0.01,0.01
38301224,0.01,0.01
38301975,3.29,0.30
38302729,3.29,0.61
38303479,3.29,0.73
38304229,3.30,0.78
38304981,3.29,0.81
38305732,3.29,0.82
38306482,3.30,0.82
38307234,3.29,0.83
38307988,3.29,0.83
38308738,3.29,0.83
38309488,3.29,0.83
38310241,3.30,0.83
38310995,3.29,0.83
38311747,3.30,0.84
38312498,3.29,0.83
38313251,3.30,0.83
38314002,3.29,0.83
38314753,3.29,0.83
38315505,3.30,0.83
38316257,3.30,0.83
38317009,3.29,0.83
38317763,3.30,0.83
38318515,3.30,0.83
38319265,3.30,0.83
38320020,3.30,0.83
38320775,3.29,0.83
38321526,3.30,0.83
38322276,3.29,0.83
38323026,3.30,0.83
38323780,3.30,0.83
38324530,3.29,0.83
38325284,3.29,0.83
38326034,3.30,0.83
38326787,3.30,0.83
38327541,0.02,0.46
38328293,0.01,0.20
38329047,0.01,0.10
38329800,0.01,0.05
38330551,0.01,0.03
38331301,0.01,0.02
38332054,0.01,0.02
38332805,0.01,0.02
38333557,0.01,0.01
38334309,0.01,0.01
38335059,0.01,0.01
38335813,0.01,0.01
38336566,0.01,0.01
38337320,0.01,0.01
38338071,0.01,0.01
38338824,0.01,0.01
38339574,0.01,0.01
38340325,0.01,0.01
38341075,0.01,0.01
38341826,0.01,0.01
38342576,0.01,0.01
38343330,0.01,0.00
38344085,0.01,0.01
38344838,0.01,0.01
38345588,0.01,0.01
38346341,0.01,0.01
38347095,0.01,0.01
38347847,0.01,0.02
38348601,0.01,0.01
38349353,0.01,0.01
38350105,0.01,0.01
38350858,0.01,0.01
38351612,0.01,0.02
38352362,3.29,0.27
38353115,3.29,0.59
38353869,3.29,0.73
38354624,3.30,0.78
38355375,3.30,0.81
38356126,3.29,0.82
38356878,3.29,0.83
38357628,3.29,0.82
38358382,3.30,0.83
38359135,3.29,0.83
38359886,3.29,0.83
38360637,3.29,0.83
38361391,3.30,0.83
38362143,3.30,0.83
38362894,3.29,0.83
38363644,3.30,0.82
38364397,3.29,0.83
38365147,3.29,0.83
38365900,3.29,0.83
38366650,3.29,0.83
38367402,3.29,0.83
38368155,3.29,0.83
38368907,3.30,0.83
38369661,3.30,0.83
38370414,3.29,0.83
38371168,3.29,0.83
38371921,3.30,0.83
38372675,3.30,0.83
38373429,3.29,0.83
38374182,3.30,0.83
38374932,3.30,0.83
38375686,3.29,0.83
38376440,3.29,0.83
38377192,3.29,0.83
38377945,0.02,0.41
38378696,0.01,0.18
38379448,0.01,0.09
38380200,0.01,0.05
38380953,0.01,0.03
38381704,0.01,0.02
38382457,0.01,0.02
38383209,0.01,0.01
38383960,0.01,0.01
38384714,0.01,0.01
38385466,0.01,0.01
38386217,0.01,0.01
38386971,0.01,0.01
38387724,0.01,0.01
38388476,0.01,0.01
38389230,0.01,0.01
38389983,0.01,0.02
38390735,0.01,0.01
38391486,0.01,0.01
38392236,0.01,0.01
38392987,0.01,0.01
38393740,0.01,0.01
38394493,0.01,0.01
38395246,0.01,0.01
38395996,0.01,0.01
38396750,0.01,0.01
38397502,0.01,0.01
38398256,0.01,0.01
38399008,0.01,0.01
38399761,0.01,0.01
38400511,0.01,0.01
38401263,0.01,0.01
38402013,0.01,0.01
38402763,3.29,0.34
38403516,3.29,0.61
38404269,3.29,0.73
38405021,3.30,0.78
38405772,3.30,0.81
38406522,3.30,0.82
38407274,3.30,0.82
38408025,3.30,0.83
38408776,3.29,0.83
38409529,3.29,0.83
38410279,3.30,0.83
38411036,3.29,0.83
38411786,3.30,0.83
38412539,3.29,0.83
38413290,3.29,0.83
38414044,3.29,0.83
38414797,3.30,0.83
38415549,3.30,0.83
38416303,3.30,0.84
38417055,3.30,0.84
38417807,3.30,0.83
38418560,3.30,0.83
38419314,3.29,0.84
38420065,3.30,0.84
38420817,3.30,0.84
38421571,3.30,0.83
38422325,3.30,0.83
38423078,3.30,0.83
38423829,3.30,0.83
38424582,3.29,0.83
38425335,3.29,0.83
38426088,3.30,0.83
38426841,3.29,0.83
38427592,3.29,0.83
38428344,0.02,0.47
38429095,0.01,0.21
38429845,0.01,0.10
38430596,0.01,0.05
38431347,0.01,0.03
38432099,0.01,0.02
38432853,0.02,0.02
38433604,0.01,0.02
38434358,0.01,0.01
38435113,0.01,0.02
38435864,0.01,0.01
38436614,0.01,0.01
38437368,0.01,0.01
38438119,0.01,0.02
38438872,0.01,0.01
38439624,0.01,0.01
38440374,0.01,0.01
38441126,0.02,0.01
38441877,0.01,0.01
38442631,0.01,0.01
38443385,0.01,0.01
38444136,0.01,0.01
38444887,0.01,0.01
38445640,0.01,0.01
38446391,0.01,0.01
38447143,0.01,0.01
38447896,0.01,0.01
38448651,0.01,0.01
38449402,0.01,0.01
38450154,0.01,0.02
38450908,0.01,0.01
38451660,0.01,0.01
38452414,0.01,0.01
38453165,3.29,0.29
38453918,3.29,0.59
38454671,3.30,0.73
38455424,3.30,0.78
38456175,3.29,0.81
38456925,3.29,0.82
38457677,3.29,0.83
38458429,3.29,0.82
38459180,3.29,0.83
38459930,3.30,0.83
38460682,3.30,0.83
38461435,3.29,0.83
38462187,3.30,0.84
38462937,3.29,0.84
38463691,3.30,0.83
38464443,3.30,0.83
38465197,3.30,0.83
38465950,3.30,0.83
38466702,3.29,0.83
38467456,3.30,0.83
38468209,3.29,0.83
38468960,3.29,0.84
38469711,3.30,0.84
38470464,3.30,0.83
38471216,3.29,0.83
38471970,3.30,0.83
38472721,3.29,0.84
38473475,3.29,0.83
38474228,3.29,0.83
38474982,3.30,0.84
38475736,3.29,0.84
38476486,3.29,0.83
38477237,3.29,0.83
38477987,3.30,0.84
38478738,0.01,0.43
38479490,0.01,0.20
38480245,0.01,0.10
38480998,0.01,0.05
38481750,0.01,0.03
38482501,0.01,0.02
38483254,0.01,0.02
38484007,0.01,0.02
38484757,0.01,0.02
38485507,0.01,0.02
38486261,0.01,0.01
38487012,0.01,0.01
38487766,0.01,0.01
38488519,0.01,0.01
38489273,0.01,0.02
38490027,0.01,0.01
38490779,0.01,0.01
38491530,0.01,0.01
38492284,0.01,0.01
38493034,0.01,0.01
38493784,0.01,0.01
38494537,0.01,0.01
38495291,0.01,0.01
38496041,0.01,0.01
38496792,0.01,0.01
38497542,0.01,0.01
38498296,0.01,0.01
38499046,0.01,0.01
38499800,0.01,0.02
38500551,0.01,0.01
38501304,0.01,0.01
38502058,0.01,0.01
38502811,0.01,0.02
38503564,3.29,0.30
38504315,3.29,0.61
38505069,3.30,0.73
38505819,3.29,0.79
38506572,3.29,0.82
38507876,3.29,0.83
38509068,3.29,0.83
38509821,3.29,0.83
38510573,3.30,0.83
38511323,3.29,0.83
38512074,3.30,0.83
38512825,3.29,0.83
38513575,3.29,0.83
38514329,3.29,0.83
38515079,3.30,0.83
38515833,3.29,0.84
38516587,3.30,0.83
38517340,3.30,0.83
38518093,3.30,0.83
38518845,3.29,0.83
38519597,3.30,0.83
38520351,3.30,0.83
38521102,3.29,0.83
38521855,3.30,0.83
38522608,3.30,0.83
38523363,3.29,0.83
38524114,3.30,0.83
38524866,3.29,0.83
38525620,3.29,0.83
38526374,3.29,0.83
38527418,3.30,0.84
38528997,0.01,0.29
38530597,0.01,0.05
38532464,0.01,0.02
38534076,0.01,0.02
38535451,0.01,0.02
38536201,0.02,0.01
38536953,0.01,0.01
38537704,0.01,0.01
38538457,0.01,0.01
38539210,0.01,0.01
38539963,0.01,0.01
38540715,0.01,0.01
38541469,0.01,0.01
38542221,0.01,0.01
38543173,0.01,0.01
38544627,0.01,0.01
38545378,0.01,0.01
38546128,0.01,0.02
38546878,0.01,0.01
38547631,0.01,0.01
38548469,0.01,0.01
38549668,0.01,0.02
38551080,0.01,0.01
38551831,0.01,0.01
38552581,0.01,0.01
38553334,0.01,0.01
38554088,3.29,0.33
38554839,3.30,0.62
38555591,3.29,0.73
38556342,3.30,0.78
38557095,3.29,0.81
38557845,3.29,0.82
38558598,3.29,0.83
38559348,3.30,0.82
38560102,3.29,0.83
38560852,3.30,0.83
38561603,3.29,0.83
38562354,3.30,0.83
38563104,3.29,0.83
38563854,3.29,0.83
38564607,3.29,0.83
38565357,3.29,0.83
38566111,3.29,0.83
38566863,3.29,0.83
38567614,3.29,0.83
38568366,3.30,0.83
38569116,3.30,0.83
38569866,3.29,0.83
38570620,3.29,0.83
38571371,3.29,0.83
38572123,3.29,0.83
38572874,3.29,0.83
38573624,3.29,0.83
38574378,3.29,0.83
38575131,3.29,0.83
38575883,3.29,0.83
38576637,3.29,0.83
38577387,3.29,0.83
38578141,3.29,0.83
38578893,3.30,0.83
38579643,0.01,0.45
38580393,0.01,0.20
38581144,0.01,0.10
38581897,0.01,0.05
38582647,0.01,0.03
38583399,0.01,0.02
38584151,0.01,0.02
38584904,0.01,0.02
38585658,0.01,0.01
38586413,0.01,0.02
38587164,0.01,0.01
38587915,0.01,0.02
38588669,0.01,0.01
38589421,0.01,0.01
38590173,0.01,0.01
38590926,0.01,0.01
38591679,0.01,0.01
38592431,0.01,0.01
38593185,0.01,0.01
38593937,0.02,0.01
38594691,0.01,0.01
38595443,0.01,0.01
38596197,0.01,0.01
38596947,0.02,0.02
38597701,0.01,0.01
38598455,0.01,0.02
38599208,0.01,0.01
38599961,0.01,0.01
38600711,0.01,0.01
38601461,0.02,0.01
38602213,0.01,0.01
38602963,0.01,0.01
38603717,0.01,0.01
38604468,3.29,0.27
38605221,3.29,0.60
38605972,3.29,0.73
38606723,3.29,0.78
38607477,3.29,0.81
38608228,3.29,0.82
38608980,3.30,0.82
38609730,3.29,0.83
38610481,3.29,0.83
38611232,3.29,0.83
38611983,3.30,0.83
38612736,3.30,0.84
38613488,3.29,0.83
38614239,3.29,0.83
38614993,3.30,0.83
38615747,3.30,0.83
38616499,3.30,0.83
38617250,3.30,0.83
38618005,3.30,0.83
38618758,3.30,0.83
38619510,3.29,0.83
38620263,3.29,0.83
38621017,3.30,0.83
38621768,3.30,0.84
38622520,3.30,0.83
38623274,3.29,0.83
38624027,3.29,0.83
38624779,3.29,0.84
38625532,3.29,0.83
38626285,3.30,0.84
38627035,3.30,0.83
38627786,3.29,0.84
38628537,3.30,0.83
38629291,3.29,0.83
38630043,0.02,0.44
38630797,0.01,0.19
38631551,0.01,0.09
38632302,0.01,0.05
38633053,0.01,0.03
38633803,0.01,0.02
38634555,0.01,0.02
38635308,0.01,0.02
38636061,0.01,0.02
38636813,0.01,0.01
38637567,0.01,0.01
38638319,0.01,0.01
38639069,0.01,0.01
38639819,0.01,0.01
38640571,0.01,0.01
38641325,0.01,0.01
38642080,0.01,0.02
38642831,0.01,0.01
38643583,0.01,0.01
38644336,0.01,0.01
38645095,0.01,0.01
38645845,0.01,0.01
38646598,0.01,0.01
38647352,0.01,0.01
38648103,0.01,0.01
38648854,0.01,0.01
38649607,0.01,0.01
38650361,0.01,0.01
38651111,0.01,0.01
38651865,0.01,0.01
38652619,0.01,0.01
38653372,0.01,0.01
38654123,0.01,0.02
38654875,3.29,0.34
38655629,3.30,0.62
38656379,3.29,0.74
38657129,3.30,0.79
38657883,3.29,0.81
38658637,3.29,0.82
38659390,3.30,0.82
38660141,3.29,0.83
38660894,3.29,0.83
38661647,3.29,0.83
38662401,3.29,0.83
38663154,3.29,0.83
38663907,3.29,0.83
38664657,3.29,0.83
38665412,3.29,0.83
38666164,3.30,0.83
38666918,3.29,0.83
38667670,3.29,0.83
38668424,3.29,0.83
38669175,3.30,0.83
38669927,3.29,0.83
38670681,3.29,0.83
38671434,3.29,0.83
38672185,3.29,0.83
38672938,3.30,0.83
38673690,3.29,0.83
38674440,3.29,0.83
38675192,3.30,0.83
38675943,3.29,0.83
38676694,3.30,0.83
38677446,3.29,0.83
38678196,3.29,0.83
38678947,3.29,0.83
38679699,3.29,0.83
38680450,0.01,0.44
38681203,0.01,0.19
38681953,0.01,0.09
38682707,0.01,0.05
38683459,0.01,0.03
38684209,0.01,0.02
38684962,0.01,0.01
38685712,0.01,0.01
38686464,0.01,0.02
38687214,0.01,0.01
38687965,0.01,0.02
38688718,0.01,0.02
38689471,0.01,0.01
38690222,0.01,0.01
38690972,0.01,0.01
38691724,0.01,0.01
38692477,0.01,0.01
38693231,0.01,0.01
38693983,0.01,0.02
38694736,0.01,0.01
38695489,0.01,0.01
38696240,0.01,0.01
38696993,0.01,0.01
38697743,0.01,0.01
38698495,0.01,0.01
38699247,0.01,0.01
38699997,0.01,0.01
38700749,0.01,0.01
38701500,0.02,0.01
38702253,0.01,0.01
38703007,0.02,0.01
38703757,0.01,0.01
38704509,0.01,0.01
38705261,3.29,0.31
38706015,3.30,0.62
38706909,3.30,0.80
38709126,3.30,0.84
38712273,3.30,0.83
38713699,3.29,0.83
38714453,3.30,0.83
38715205,3.29,0.83
38715958,3.29,0.83
38716712,3.30,0.83
38717464,3.30,0.83
38718218,3.29,0.83
38718972,3.29,0.83
38720192,3.30,0.83
38720944,3.29,0.83
38721697,3.29,0.83
38722449,3.30,0.83
38723200,3.30,0.83
38723950,3.29,0.83
38724700,3.29,0.83
38725450,3.29,0.83
38726200,3.29,0.83
38726950,3.29,0.83
38727703,3.29,0.83
38728457,3.30,0.83
38729208,3.30,0.83
38729961,3.29,0.83
38730713,0.01,0.41
38731465,0.01,0.19
38732216,0.01,0.09
38732968,0.01,0.05
38733719,0.01,0.03
38734471,0.01,0.03
38735222,0.01,0.02
38735972,0.01,0.02
38736724,0.01,0.01
38737477,0.01,0.02
38738227,0.01,0.01
38738979,0.01,0.02
38739732,0.01,0.01
38740485,0.01,0.01
38741236,0.01,0.01
38741989,0.01,0.01
38742740,0.01,0.01
38743494,0.01,0.01
38744246,0.01,0.01
38744998,0.01,0.01
38745750,0.01,0.01
38746500,0.01,0.01
38747252,0.01,0.01
38748004,0.01,0.01
38748755,0.01,0.01
38749508,0.01,0.02
38750262,0.01,0.01
38751015,0.01,0.01
38751765,0.01,0.01
38752519,0.01,0.01
38753271,0.01,0.01
38754021,0.01,0.01
38754772,0.01,0.01
38755523,3.29,0.32
38756275,3.29,0.61
38757025,3.29,0.74
38757777,3.30,0.78
38758529,3.29,0.81
38759279,3.30,0.82
38760033,3.30,0.83
38760784,3.30,0.83
38761534,3.30,0.83
38762285,3.29,0.83
38763036,3.30,0.83
38763788,3.29,0.83
38764542,3.29,0.83
38765294,3.29,0.83
38766044,3.29,0.83
38766797,3.29,0.83
38767548,3.30,0.83
38768299,3.29,0.83
38769050,3.30,0.84
38769803,3.29,0.84
38770557,3.29,0.83
38771309,3.29,0.83
38772059,3.30,0.83
38772809,3.29,0.83
38773562,3.29,0.83
38774315,3.29,0.83
38775066,3.30,0.82
38775820,3.29,0.84
38776571,3.29,0.84
38777321,3.29,0.83
38778074,3.29,0.83
38778826,3.30,0.83
38779577,3.29,0.83
38780327,3.30,0.83
38781077,0.02,0.44
38781827,0.02,0.19
38782579,0.01,0.09
38783333,0.01,0.05
38784087,0.01,0.03
38784838,0.01,0.02
38785590,0.01,0.02
38786344,0.01,0.02
38787094,0.01,0.02
38787845,0.01,0.02
38788596,0.01,0.01
38789350,0.01,0.01
38790103,0.01,0.01
38790855,0.01,0.01
38791608,0.01,0.01
38792361,0.01,0.01
38793112,0.01,0.01
38793867,0.01,0.01
38794620,0.01,0.01
38795372,0.01,0.01
38796123,0.01,0.01
38796875,0.01,0.02
38797625,0.01,0.01
38798379,0.01,0.01
38799133,0.02,0.01
38799887,0.01,0.01
38800641,0.01,0.01
38801395,0.01,0.02
38802147,0.01,0.01
38802901,0.02,0.01
38803653,0.01,0.02
38804403,0.01,0.01
38805157,0.01,0.01
38805911,3.29,0.33
38806665,3.29,0.60
38807420,3.30,0.74
38808172,3.29,0.79
38808926,3.29,0.81
38809677,3.30,0.82
38810428,3.29,0.82
38811179,3.29,0.83
38811933,3.30,0.83
38812684,3.29,0.83
38813438,3.29,0.83
38814189,3.29,0.83
38814942,3.29,0.83
38815692,3.30,0.83
38816443,3.29,0.83
38817193,3.30,0.83
38817943,3.29,0.83
38818694,3.30,0.83
38819444,3.30,0.84
38820194,3.29,0.83
38820946,3.29,0.83
38821699,3.30,0.83
38822450,3.29,0.83
38823202,3.29,0.83
38823954,3.29,0.83
38824706,3.30,0.83
38825456,3.29,0.83
38826209,3.29,0.84
38826960,3.29,0.83
38827711,3.30,0.83
38828462,3.30,0.83
38829214,3.29,0.83
38829965,3.29,0.83
38830718,3.29,0.83
38831470,0.01,0.47
38832222,0.01,0.20
38832974,0.01,0.10
38833728,0.01,0.05
38834479,0.01,0.04
38835229,0.01,0.02
38835983,0.01,0.02
38836735,0.01,0.02
38837489,0.01,0.01
38838240,0.01,0.01
38838991,0.01,0.01
38839741,0.01,0.01
38840491,0.01,0.01
38841243,0.01,0.01
38841997,0.01,0.01
38842751,0.01,0.02
38843502,0.01,0.01
38844253,0.01,0.01
38845007,0.01,0.01
38845759,0.01,0.01
38846512,0.01,0.00
38847265,0.01,0.01
38848015,0.01,0.01
38848766,0.01,0.01
38849520,0.01,0.01
38850273,0.01,0.01
38851026,0.01,0.01
38851778,0.01,0.01
38852530,0.01,0.01
38853284,0.01,0.01
38854038,0.01,0.01
38854789,0.01,0.01
38855541,0.01,0.01
38856293,3.29,0.29
38857044,3.30,0.62
38857794,3.29,0.73
38858545,3.29,0.78
38859295,3.29,0.81
38860049,3.30,0.82
38860802,3.30,0.82
38861554,3.30,0.82
